V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
36,25,10,30,53,100,127,168,262,301,275,192,137,142,135,126,118,112,97,56
18,22,48,43,18,12,16,28,98,143,96,49,29,19,18,17,17,45,51,42
7,2,3,5,3,4,17,7,24,50,49,13,0,0,0,0,0,0,0,0
10,19,34,22,4,5,23,70,147,118,63,115,96,35,11,5,8,32,27,10
57,64,29,17,19,38,72,90,81,58,32,23,43,47,41,52,28,14,21,18
8,12,14,8,14,7,15,27,31,40,32,29,34,67,88,63,56,43,18,11
0,0,0,2,6,23,13,11,23,21,26,25,27,13,7,6,3,2,1,0
8,14,24,13,2,2,8,31,51,66,57,52,38,9,4,9,15,16,15,3
37,71,29,8,19,17,23,78,129,239,295,265,269,117,31,24,16,26,22,15
4,6,4,12,13,6,11,18,30,48,46,36,68,48,25,15,8,11,10,9
193,280,197,147,120,47,19,45,39,25,10,18,35,49,117,212,136,159,294,252
40,30,30,21,23,121,233,337,367,336,275,262,349,206,128,54,23,34,36,61
23,27,27,13,8,25,123,190,212,159,181,224,162,107,33,35,74,87,105,69
16,17,24,27,31,22,33,28,19,44,98,149,115,111,58,60,146,148,57,45
10,5,10,9,3,52,85,52,81,72,75,55,15,19,9,13,12,4,4,0
22,18,18,20,16,29,59,148,194,193,179,97,39,19,7,8,15,19,11,10
31,15,7,8,20,25,59,80,37,32,84,50,7,0,1,1,0,5,7,9
64,50,72,78,45,27,28,74,75,105,152,130,105,58,53,62,91,182,281,330
9,25,25,22,25,20,15,9,64,90,89,41,22,12,0,2,2,0,2,1
12,17,24,10,8,29,44,77,94,95,126,91,70,44,12,10,7,11,5,3
64,53,27,22,13,2,0,0,44,37,63,64,43,33,16,19,12,7,2,0
2,2,7,11,7,8,5,5,2,3,19,20,9,13,11,6,0,0,2,1
225,172,87,86,93,81,42,87,98,72,39,24,19,15,15,11,12,14,4,4
10,6,9,4,5,4,5,12,29,33,30,14,16,9,24,33,26,19,44,29
10,6,3,7,26,39,70,123,120,122,89,42,30,15,9,12,25,54,96,112
42,54,63,63,53,28,29,35,47,98,146,157,142,146,94,39,34,36,20,18
0,0,8,65,92,135,213,186,188,196,134,162,119,29,16,29,6,0,0,2
65,43,39,32,17,42,40,53,48,16,15,16,36,33,34,29,22,40,47,40
29,37,41,31,23,28,47,152,258,225,261,393,332,241,270,262,158,90,94,117
11,25,36,21,15,11,23,64,149,169,149,230,89,24,10,13,2,7,16,9
24,15,27,51,111,101,70,57,38,40,30,16,24,38,29,36,29,10,18,27
17,18,15,19,21,15,12,12,15,22,13,12,20,20,10,10,5,6,13,20
4,9,13,11,5,24,24,16,22,17,13,2,10,12,9,8,4,6,9,18
4,55,99,79,75,72,61,74,57,40,30,32,27,29,22,18,16,6,9,8
