"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "x"
"1" 5 11 10 7 6 6 2 2 13 14 12 8 12 8 10 10 18 16 12 13 1
"2" 6 4 6 8 16 15 9 5 8 3 3 3 4 9 6 5 9 4 8 6 1
"3" 19 12 5 4 2 5 18 22 9 4 8 10 10 11 5 5 9 6 7 9 1
"4" 1 11 15 9 8 7 1 0 8 8 1 9 8 8 5 2 2 1 4 4 1
"5" 0 0 0 0 2 2 1 10 9 3 3 6 2 2 3 4 0 4 2 1 1
"6" 16 14 29 43 52 85 93 111 101 116 94 48 23 9 5 7 16 34 20 2 1
"7" 1 11 22 29 16 3 9 10 31 71 116 129 74 64 51 47 30 17 14 10 1
"8" 1 11 14 13 7 10 8 2 5 5 4 6 7 14 11 5 3 6 4 1 1
"9" 2 2 2 2 0 2 9 6 9 5 5 10 12 6 1 10 13 7 0 2 1
"10" 7 12 16 20 11 15 46 120 187 217 168 106 61 26 17 22 57 67 42 30 1
"11" 9 4 3 3 3 5 14 15 10 10 17 19 15 10 11 6 0 0 2 7 1
"12" 7 7 3 11 43 89 51 26 39 56 166 350 332 340 384 525 516 110 38 28 1
"13" 8 0 2 4 7 8 3 6 7 1 4 3 2 1 1 5 4 3 2 1 1
"14" 22 22 40 67 107 138 118 166 124 149 180 175 86 79 41 17 9 11 15 12 1
"15" 23 9 14 14 11 23 24 34 28 11 6 4 13 15 8 5 17 15 2 0 1
"16" 0 0 2 8 0 2 4 13 10 11 17 7 4 11 21 15 8 8 17 10 1
"17" 87 71 55 34 30 51 65 138 192 195 172 181 155 56 16 29 22 13 16 14 1
"18" 49 39 34 44 51 51 41 28 23 37 24 34 26 20 12 17 16 12 19 18 1
"19" 5 15 12 3 10 8 3 14 6 5 2 7 16 12 5 9 14 14 8 10 1
"20" 417 155 150 166 150 56 103 204 190 161 175 88 66 45 41 78 82 28 20 35 1
"21" 59 38 29 27 38 46 80 202 185 132 203 153 235 213 188 162 141 80 33 27 1
"22" 2 14 15 14 12 8 2 0 1 4 3 3 5 6 10 10 7 4 7 5 1
"23" 4 3 2 5 4 3 4 6 8 19 12 13 9 7 9 5 4 1 5 9 1
"24" 6 9 3 13 9 10 1 3 8 8 14 9 3 3 9 7 3 3 5 4 1
"25" 60 85 104 62 44 78 100 121 114 211 278 266 275 484 470 220 284 568 641 160 1
"26" 48 30 36 45 73 84 103 179 228 229 133 70 35 26 19 24 29 24 31 44 1
"27" 7 7 2 1 7 0 2 2 8 4 4 3 0 0 0 3 3 0 4 4 1
"28" 10 13 34 30 23 34 26 39 37 50 54 59 64 47 18 34 56 124 162 140 1
"29" 1 0 2 4 3 3 4 3 5 3 2 1 1 2 2 1 1 4 2 3 1
"30" 9 9 6 8 8 9 20 69 65 66 74 46 24 9 2 8 11 10 9 11 1
"31" 72 69 49 41 28 29 76 134 235 302 299 253 300 227 147 90 63 16 27 23 1
"32" 4 1 8 15 16 7 8 9 6 16 19 15 10 9 5 6 5 4 9 2 1
"33" 3 5 18 7 17 40 38 75 113 88 27 8 11 15 19 15 5 2 9 10 1
"34" 143 136 156 127 136 108 116 110 101 213 256 201 268 306 280 195 60 11 10 20 1
"35" 7 3 13 28 13 16 21 21 42 80 77 87 117 87 53 26 16 4 12 14 1
"36" 5 4 3 6 5 4 5 2 8 10 12 8 17 15 7 6 7 9 11 8 1
"37" 16 22 25 13 5 4 28 53 101 147 69 82 107 80 38 59 86 44 14 5 1
"38" 1 6 6 15 23 16 11 8 11 13 20 10 4 2 6 2 0 0 0 0 1
"39" 6 3 6 6 4 9 11 12 9 11 21 18 18 11 2 3 2 0 6 9 1
"40" 2 2 0 1 3 6 6 2 11 12 4 6 0 5 5 0 0 3 4 4 1
"41" 11 10 3 7 15 11 8 12 13 9 9 5 4 15 30 21 12 18 20 18 1
"42" 23 15 30 49 21 28 28 51 68 115 153 108 98 71 87 77 42 21 11 22 1
"43" 0 0 2 2 0 6 9 12 18 27 33 48 45 19 8 9 5 1 3 16 1
"44" 2 4 4 0 5 7 5 1 6 5 2 0 2 2 8 10 3 4 3 3 1
"45" 5 2 0 1 1 4 2 2 1 0 2 1 0 0 0 4 5 1 3 3 1
"46" 57 55 55 44 37 45 52 103 145 314 348 282 196 112 119 74 51 31 19 0 1
"47" 21 6 12 13 8 17 24 14 16 14 14 22 16 9 16 41 34 26 13 32 1
"48" 2 3 3 5 4 4 4 2 1 2 4 4 1 1 0 3 4 7 7 2 1
"49" 158 276 174 160 202 163 123 142 197 190 205 221 139 150 218 135 85 65 38 23 1
"50" 32 45 42 21 16 12 19 18 16 9 9 20 23 17 14 11 17 12 8 4 1
"51" 102 79 87 81 39 66 81 98 137 165 164 195 156 89 89 66 48 55 51 48 1
"52" 1 0 2 8 14 17 11 1 3 7 5 13 14 3 5 3 6 7 2 5 1
"53" 17 11 9 7 8 18 18 38 46 30 17 8 7 9 4 0 7 7 2 3 1
"54" 7 0 1 1 3 1 4 2 7 10 19 17 10 18 23 9 3 12 11 4 1
"55" 4 7 5 1 0 2 5 2 9 8 5 8 4 9 9 5 0 5 2 0 1
"56" 12 11 19 15 12 12 22 20 12 9 29 41 28 24 42 62 54 32 27 21 1
"57" 26 24 10 4 0 5 5 8 7 0 0 9 6 0 0 10 18 6 3 1 1
"58" 8 4 6 10 12 6 7 3 6 7 14 15 11 6 5 3 2 2 3 6 1
"59" 15 19 22 22 15 16 27 41 33 47 38 12 7 3 0 4 7 4 2 0 1
"60" 35 10 6 13 16 41 89 120 103 122 166 125 66 27 14 17 33 34 32 23 1
"61" 1 11 13 3 18 13 12 33 29 9 13 12 8 5 5 3 3 9 11 7 1
"62" 5 0 1 7 0 0 2 3 2 2 3 10 17 10 4 4 3 2 0 3 1
"63" 84 139 147 108 85 83 188 222 232 323 288 149 243 280 167 89 47 38 53 62 1
"64" 21 12 33 90 101 173 243 147 121 186 200 125 57 37 27 42 44 29 46 46 1
"65" 6 10 25 25 5 11 14 9 68 159 127 137 92 25 22 38 52 49 31 22 1
"66" 0 4 3 0 0 0 0 0 3 4 2 1 0 0 1 1 0 0 0 0 1
"67" 7 6 9 9 3 13 9 7 27 43 27 7 6 5 3 6 10 8 13 7 1
"68" 11 12 4 11 9 2 4 6 10 4 5 8 7 6 3 5 6 2 10 8 1
"69" 2 13 17 11 22 18 34 65 115 117 134 177 151 85 62 44 12 14 16 22 1
"70" 4 3 4 4 11 8 2 7 8 6 4 2 2 5 4 8 4 2 1 4 1
"71" 12 19 21 12 9 21 34 36 44 63 75 34 32 47 41 36 38 35 32 21 1
"72" 13 18 18 6 1 10 13 5 11 20 21 11 15 15 7 6 5 2 5 3 1
"73" 5 5 1 6 4 8 12 6 4 6 6 4 1 2 2 0 0 0 0 0 1
"74" 1 5 4 0 5 11 5 3 0 0 4 2 2 2 1 1 2 2 0 8 1
"75" 38 38 40 26 44 40 17 24 30 25 36 20 10 37 41 40 33 44 38 42 1
"76" 3 1 4 5 3 4 0 2 5 7 5 4 5 5 2 3 10 10 7 3 1
"77" 80 44 18 17 25 32 28 12 6 13 25 21 14 13 27 30 25 24 19 18 1
"78" 5 9 13 15 26 24 75 229 253 234 427 355 355 321 201 87 45 27 12 33 1
"79" 4 4 10 9 4 3 5 4 9 13 3 8 15 12 6 6 7 7 1 3 1
"80" 264 337 304 205 244 332 421 298 362 334 233 115 49 26 17 14 13 14 13 6 1
"81" 82 180 290 210 177 173 103 47 36 34 57 97 97 288 285 82 24 15 13 17 1
"82" 4 8 9 8 8 8 6 11 12 15 15 19 33 27 12 4 5 5 10 12 1
"83" 0 0 3 3 9 9 11 8 5 48 93 60 22 15 12 6 4 0 1 1 1
"84" 6 0 10 10 17 18 8 24 23 9 8 4 2 4 4 9 20 23 21 7 1
"85" 6 8 13 11 7 2 0 6 11 9 8 17 10 6 3 6 8 4 9 6 1
"86" 9 6 4 13 18 14 15 18 20 38 66 70 86 55 49 50 55 35 26 24 1
"87" 26 16 14 7 11 12 32 63 39 9 7 5 7 23 31 39 36 26 29 40 1
"88" 0 4 6 2 1 2 4 4 10 12 3 8 5 1 2 1 2 6 1 6 1
"89" 6 4 5 10 10 9 3 8 6 20 29 31 21 7 10 10 4 6 4 6 1
"90" 5 6 4 3 2 4 6 8 10 11 7 5 6 7 2 9 22 11 4 11 1
"91" 24 20 11 4 16 38 53 42 42 69 67 29 19 31 73 138 181 156 129 144 1
"92" 1 5 14 13 3 9 1 3 2 3 5 7 3 4 1 1 1 1 1 2 1
"93" 1 10 18 14 5 5 8 27 22 15 13 17 2 3 3 2 2 0 6 12 1
"94" 9 13 10 6 3 13 14 5 12 24 22 10 12 18 19 31 14 24 24 17 1
"95" 4 15 6 3 5 3 9 15 20 26 21 10 16 15 11 10 17 11 19 11 1
"96" 1 0 0 0 0 0 0 4 12 13 15 6 0 8 13 14 6 6 8 5 1
"97" 0 2 3 3 4 1 6 10 6 7 4 1 3 1 0 0 5 6 7 8 1
"98" 0 0 0 0 0 0 7 7 1 2 3 1 0 2 5 5 11 9 3 2 1
"99" 35 94 169 146 158 136 98 47 16 24 35 12 1 14 16 18 14 7 6 6 1
"100" 34 35 33 44 31 27 24 17 18 17 10 9 8 9 11 11 13 13 14 11 1
"101" 3 6 6 6 12 8 2 6 16 16 24 17 10 9 3 5 8 11 7 15 1
"102" 21 44 50 63 61 40 21 41 109 219 331 258 314 403 303 90 29 23 45 80 1
"103" 32 27 31 31 11 27 85 112 97 67 126 84 47 24 9 6 10 16 22 22 1
"104" 1 7 7 3 12 8 4 7 11 10 11 7 8 5 1 6 7 1 1 3 1
"105" 17 35 56 92 92 102 156 165 113 96 136 154 117 58 105 151 86 63 45 27 1
"106" 0 7 13 8 7 3 1 1 5 18 20 31 40 11 15 8 4 6 5 7 1
"107" 3 0 4 7 6 7 2 12 11 14 19 12 13 10 3 1 10 7 4 10 1
"108" 22 25 31 32 25 31 33 57 95 104 124 132 80 78 60 49 56 82 191 203 1
"109" 6 1 8 12 7 17 19 13 22 26 40 58 52 29 10 14 10 5 5 8 1
"110" 110 106 64 46 17 16 33 65 124 185 290 281 104 32 16 21 22 12 10 12 1
"111" 89 93 95 67 46 75 100 110 129 72 38 34 7 13 13 16 22 17 0 0 1
"112" 1 0 0 0 0 0 0 0 10 19 22 21 17 9 6 11 8 0 5 5 1
"113" 54 214 234 326 519 325 323 277 463 585 384 173 71 34 28 61 51 37 36 25 1
"114" 12 34 37 75 83 66 42 19 13 20 14 1 7 12 8 3 5 5 3 4 1
"115" 3 0 0 2 0 2 5 3 1 4 4 1 0 3 3 0 4 5 2 1 1
